work_dedication,salary_comparison_last_semester,profile_level_study,profile_gender,profile_experience_range,list_of_normalized_languages,usd_monthly_gross_salary
full-time,3,,M,10+,"['bash/shell', 'css', 'html', 'javascript', 'php', 'python']",1603.6369181502803
full-time,2,Universitario,M,10+,"['groovy', 'html', 'javascript', 'python']",1410.5447752659068
full-time,2,,M,3-5,"['html', 'java', 'javascript', 'sql']",724.3338035149251
full-time,3,Universitario,M,6-10,"['java', 'kotlin']",1639.2817658495674
full-time,3,Universitario,M,3-5,"['javascript', 'python', 'sql']",4002.8973352140597
full-time,2,Universitario,M,10+,"['arduino', 'c', 'c++', 'c#', 'css', 'html', 'java', 'javascript', 'python', 'sql']",1113.186687507148
full-time,2,,M,3-5,"['html', 'javascript', 'python']",1236.7618466699707
full-time,3,,M,6-10,['python'],2420.7998170104074
full-time,3,Secundario,M,10+,"['bash/shell', 'elixir', 'erlang', 'java', 'javascript', 'objective-c', 'typescript']",2134.878578780832
full-time,3,Universitario,M,3-5,"['.net', 'c#', 'css', 'sql', 'vba']",667.14955586901
full-time,3,Universitario,M,3-5,['dart'],1029.3164576264726
full-time,3,Terciario,M,3-5,"['java', 'sql']",1166.558651976669
full-time,3,,M,10+,"['css', 'java', 'javascript', 'kotlin', 'sql', 'typescript']",1334.29911173802
full-time,2,,M,10+,"['.net', 'css', 'html', 'javascript', 'php', 'sql']",751.0197857496855
full-time,1,,M,3-5,['python'],1524.913270557737
full-time,3,,M,0-1,"['css', 'html', 'javascript', 'typescript']",297.3580877587587
full-time,2,Terciario,M,3-5,"['css', 'html', 'javascript']",524.1889367542221
full-time,3,Universitario,M,10+,"['html', 'java', 'javascript', 'python', 'sql']",2592.3525599481527
full-time,4,,M,3-5,['javascript'],1219.9306164461896
full-time,2,Universitario,M,6-10,"['go', 'java', 'javascript']",2668.59822347604
full-time,2,,M,1-2,"['c', 'java']",461.28626434371546
full-time,2,,M,10+,"['bash/shell', 'javascript', 'php', 'python', 'typescript']",4955.968129312645
full-time,1,Universitario,M,3-5,"['groovy', 'java', 'python', 'ruby']",1692.653730319088
full-time,3,Universitario,M,0-1,['java'],419.3511494033777
full-time,3,,M,6-10,"['bash/shell', 'javascript', 'python']",1582.097518203652
full-time,3,,M,1-2,['java'],1563.0361023216803
full-time,3,Universitario,M,10+,"['java', 'kotlin', 'scala']",1807.0222256109184
full-time,2,Universitario,M,10+,"['.net', 'html', 'java', 'javascript', 'php', 'sql']",1715.5274293774542
full-time,2,Terciario,M,3-5,"['.net', 'bash/shell', 'java', 'javascript', 'sql']",1410.5447752659068
full-time,4,Universitario,M,10+,"['html', 'javascript', 'sql']",2897.3352140597003
full-time,3,,M,6-10,"['javascript', 'php', 'sql']",2592.3525599481527
full-time,3,Universitario,M,1-2,"['html', 'javascript', 'sql', 'typescript']",1410.5447752659068
full-time,1,,M,1-2,['java'],838.7022988067554
full-time,4,Universitario,M,0-1,"['java', 'python', 'sql']",609.9653082230948
